outcode,latitude,longitude
B73,52.553094301675976,-1.8424461601489759
B74,52.58431860342556,-1.8622428801054018
B75,52.57860201526718,-1.8082647221374046
B76,52.543466233521656,-1.7816250621468928
B77,52.618752128078825,-1.6682263714285714
B78,52.60635054012346,-1.67447750154321
B79,52.650607425320054,-1.6803626514935988
B8,52.491119065743945,-1.8413565657439446
B80,52.27328574074074,-1.8921667407407408
B9,52.4782277970297,-1.8508914084158417
B90,52.39832666666666,-1.8256321359044996
B91,52.414011631455395,-1.7835407441314555
B92,52.43725035567716,-1.7734247031463748
B93,52.38020228682171,-1.7441509515503877
B94,52.34954395894429,-1.794508818181818
B95,52.28592253869969,-1.780612625386997
B96,52.25171169811321,-1.960243179245283
B97,52.29951115,-1.95494548125
B98,52.302219792429796,-1.9129562771672772
B99,52.495955625,-1.8942332708333334
BA1,51.393021437782075,-2.3611911341070275
BA10,51.113098156424584,-2.447973966480447
BA11,51.23286811594203,-2.3246233827791984
BA12,51.17101177504394,-2.1893191265377854
BA13,51.26206623233909,-2.1823630533751963
BA14,51.31909259510869,-2.2025346739130436
BA15,51.34830645435244,-2.2581123184713374
BA16,51.12417648,-2.745847848
BA2,51.359227554347825,-2.379272813858696
BA20,50.93792181451613,-2.645432282258065
BA21,50.95210454075033,-2.633886772315653
BA22,50.96984459425718,-2.6390970124843944
BA3,51.27154786331501,-2.4783731311861743
BA4,51.172346770334926,-2.5319606028708135
BA5,51.21267296060991,-2.6554829885641675
BA6,51.14200882882883,-2.7074745009009007
BA7,51.08974499999999,-2.5203329455445544
BA8,50.996445188679246,-2.4118794198113207
BA9,51.05770812834224,-2.410233986631016
BB1,53.756892085561496,-2.4629658151260507
BB10,53.79952119503946,-2.2191990259301018
BB11,53.782631558753,-2.2539546726618704
BB12,53.803373524590164,-2.292720842213115
BB18,53.91462636521739,-2.1720135826086957
BB2,53.74126579730688,-2.502052881644224
BB3,53.697939815016326,-2.4658391186071817
BB4,53.7038908008982,-2.2917486661676647
BB5,53.75428888387096,-2.3735499367741935
BB6,53.79282889784946,-2.417138021505376
BB7,53.87045663658736,-2.389080950779327
BB8,53.858155984654736,-2.1634840767263426
BB9,53.83739741564968,-2.215669222541278
BD1,53.796579756592294,-1.754404620689655
BD10,53.83310862937063,-1.7251454125874124
BD11,53.75254747572816,-1.6741867119741103
BD12,53.745602092257,-1.7626171713344316
BD13,53.787167058212056,-1.8618011964656964
BD14,53.782166624999995,-1.8187930708333333
BD15,53.810122194570134,-1.8384004592760181
BD16,53.84844956782713,-1.8331239807923168
BD17,53.847641663999994,-1.7682398576
BD18,53.83071311901505,-1.7770306662106703
BD19,53.72736138571429,-1.7141055042857143
BD2,53.81523072404372,-1.733839882513661
BD20,53.898440217548945,-1.9500180108774474
BD21,53.86415800422386,-1.9075934044350582
BD22,53.84562557530403,-1.9553358475210478
BD23,53.99276611072664,-2.0563597238754325
BD24,54.07986148809524,-2.284208824404762
BD3,53.79850668965518,-1.7266571000000002
BD4,53.776237989583336,-1.7185573958333333
BD5,53.77817408585056,-1.759236961844197
BD6,53.76453549795361,-1.7861011582537516
BD7,53.78358352941177,-1.7857250047694753
BD8,53.801698662420385,-1.784087786624204
BD9,53.81304018518519,-1.7927210333333332
BD97,53.826485000000005,-1.79673525
BD98,88.45420625,-0.44133225
BD99,53.794774999999994,-1.766371333333333
